configuration_id,arm,pool,objective_value,optimality_bound,optimality_ratio,computable
A3_l0.6_r1.0_k16,A3,full_eligible_store,11.112926585972309,11.183735086057647,0.9936686179044412,True
A3_l0.7_r0.0_k02,A3,full_eligible_store,5.622035616636277,5.653812023714268,0.9943796491739185,True
A3_l0.7_r0.0_k04,A3,full_eligible_store,7.389051559567451,7.529319618599898,0.9813704204180763,True
A3_l0.7_r0.0_k08,A3,full_eligible_store,8.628447560966015,8.676727547982791,0.9944356917109837,True
A3_l0.7_r0.0_k16,A3,full_eligible_store,9.485251116752625,9.509637661719456,0.9974355968298353,True
A3_l0.7_r0.5_k02,A3,full_eligible_store,6.334656858444214,6.375032606714928,0.9936665816849022,True
A3_l0.7_r0.5_k04,A3,full_eligible_store,7.725568550825119,7.827993132950554,0.9869156014337447,True
A3_l0.7_r0.5_k08,A3,full_eligible_store,9.979589810967445,9.9978524110027,0.9981733477066378,True
A3_l0.7_r0.5_k16,A3,full_eligible_store,12.044017505645751,12.250615728044394,0.9831356866475133,True
A3_l0.7_r1.0_k02,A3,full_eligible_store,6.444364780187607,6.455222631008788,0.9983179742292662,True
A3_l0.7_r1.0_k04,A3,full_eligible_store,7.829090821743011,7.873352968692779,0.9943782341366163,True
A3_l0.7_r1.0_k08,A3,full_eligible_store,9.84736462533474,9.992558304508528,0.9854698191644998,True
A3_l0.7_r1.0_k16,A3,full_eligible_store,12.100442890822887,12.27159285406874,0.986053158275284,True
A3_l0.8_r0.0_k02,A3,full_eligible_store,5.822035616636276,5.8538120237142675,0.9945716727921459,True
A3_l0.8_r0.0_k04,A3,full_eligible_store,7.789051559567452,7.929319618599898,0.9823102024159276,True
A3_l0.8_r0.0_k08,A3,full_eligible_store,9.428447560966015,9.476727547982792,0.9949054157384684,True
A3_l0.8_r0.0_k16,A3,full_eligible_store,10.385251116752624,10.409637661719454,0.9976573108729317,True
A3_l0.8_r0.5_k02,A3,full_eligible_store,6.5346568584442135,6.575032606714927,0.993859232237194,True
A3_l0.8_r0.5_k04,A3,full_eligible_store,8.125568550825118,8.227993132950553,0.9875516932901589,True
A3_l0.8_r0.5_k08,A3,full_eligible_store,10.779589810967446,10.797852411002701,0.9983086821952997,True
A3_l0.8_r0.5_k16,A3,full_eligible_store,13.31292658597231,13.402712561574264,0.9933009101560999,True
A3_l0.8_r1.0_k02,A3,full_eligible_store,6.6443647801876065,6.655222631008788,0.9983685217725714,True
A3_l0.8_r1.0_k04,A3,full_eligible_store,8.22909082174301,8.273352968692778,0.994650035225469,True
A3_l0.8_r1.0_k08,A3,full_eligible_store,10.64736462533474,10.792558304508528,0.9865468709941428,True
A3_l0.8_r1.0_k16,A3,full_eligible_store,13.133275802433491,13.378327028662026,0.981682969350089,True
A3_l0.9_r0.0_k02,A3,full_eligible_store,6.022035616636276,6.053812023714268,0.9947510086283625,True
A3_l0.9_r0.0_k04,A3,full_eligible_store,8.189051559567451,8.329319618599898,0.9831597218674116,True
A3_l0.9_r0.0_k08,A3,full_eligible_store,10.228447560966014,10.27672754798279,0.9953020076876268,True
A3_l0.9_r0.0_k16,A3,full_eligible_store,11.285251116752624,11.309637661719455,0.9978437377309289,True
A3_l0.9_r0.5_k02,A3,full_eligible_store,6.734656858444214,6.775032606714928,0.9940405086418778,True
A3_l0.9_r0.5_k04,A3,full_eligible_store,8.525568550825119,8.627993132950554,0.9881288057898108,True
A3_l0.9_r0.5_k08,A3,full_eligible_store,11.579589810967445,11.5978524110027,0.9984253464013795,True
A3_l0.9_r0.5_k16,A3,full_eligible_store,14.41292658597231,14.513058374663716,0.9931005728698638,True
A3_l0.9_r1.0_k02,A3,full_eligible_store,6.8494189262390135,6.853543186187744,0.9993982295235198,True
A3_l0.9_r1.0_k04,A3,full_eligible_store,8.55253287255764,8.56571577489376,0.9984609689741563,True
A3_l0.9_r1.0_k08,A3,full_eligible_store,11.360180360078811,11.427015941713815,0.99415109054053,True
A3_l0.9_r1.0_k16,A3,full_eligible_store,14.223659755289555,14.335132437175293,0.9922238122058324,True
A3_l1.0_r0.0_k02,A3,full_eligible_store,6.222035616636276,6.253812023714268,0.9949188739671905,True
A3_l1.0_r0.0_k04,A3,full_eligible_store,8.589051559567451,8.729319618599899,0.9839313869624418,True
A3_l1.0_r0.0_k08,A3,full_eligible_store,11.028447560966015,11.076727547982792,0.9956413131218012,True
A3_l1.0_r0.0_k16,A3,full_eligible_store,12.185251116752625,12.209637661719455,0.998002680698438,True
A3_l1.0_r0.5_k02,A3,full_eligible_store,6.934656858444214,6.975032606714928,0.9942113893156795,True
A3_l1.0_r0.5_k04,A3,full_eligible_store,8.925568550825119,9.027993132950554,0.9886547784632662,True
A3_l1.0_r0.5_k08,A3,full_eligible_store,12.379589810967445,12.3978524110027,0.9985269545539155,True
A3_l1.0_r0.5_k16,A3,full_eligible_store,15.51292658597231,15.62340418775317,0.99292871128128,True
A3_l1.0_r1.0_k02,A3,full_eligible_store,7.049418926239014,7.053543186187744,0.9994152924509194,True
A3_l1.0_r1.0_k04,A3,full_eligible_store,8.95253287255764,8.965715774893761,0.9985296319148287,True
A3_l1.0_r1.0_k08,A3,full_eligible_store,12.160180360078812,12.227015941713816,0.9945337781553889,True
A3_l1.0_r1.0_k16,A3,full_eligible_store,15.16698683053255,15.44531714220146,0.9819796311654603,True
A1_l0.0,A1,cosine_top_100,,,,False
A1_l0.1,A1,cosine_top_100,,,,False
A1_l0.2,A1,cosine_top_100,,,,False
A1_l0.3,A1,cosine_top_100,,,,False
A1_l0.4,A1,cosine_top_100,,,,False
A1_l0.5,A1,cosine_top_100,,,,False
A1_l0.6,A1,cosine_top_100,,,,False
A1_l0.7,A1,cosine_top_100,,,,False
A1_l0.8,A1,cosine_top_100,,,,False
A1_l0.9,A1,cosine_top_100,,,,False
A1_l1.0,A1,cosine_top_100,,,,False
A2_r0.0,A2,cosine_top_100,50.27960968017578,50.4108894910726,0.9973958045132278,True
A2_r0.5,A2,cosine_top_100,52.034305572509766,52.28935352988026,0.9951223730998175,True
A2_r1.0,A2,cosine_top_100,51.97615432739258,52.034107982656046,0.9988862371719184,True
A3_l0.0_r0.0_k02,A3,cosine_top_100,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.0_k04,A3,cosine_top_100,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.0_k08,A3,cosine_top_100,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.0_k16,A3,cosine_top_100,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.5_k02,A3,cosine_top_100,4.925568491220474,5.027993073345909,0.979629132214123,True
A3_l0.0_r0.5_k04,A3,cosine_top_100,4.925568491220474,5.027993073345909,0.979629132214123,True
A3_l0.0_r0.5_k08,A3,cosine_top_100,4.925568491220474,5.027993073345909,0.979629132214123,True
A3_l0.0_r0.5_k16,A3,cosine_top_100,4.925568491220474,5.027993073345909,0.979629132214123,True
A3_l0.0_r1.0_k02,A3,cosine_top_100,5.029090762138367,5.073352909088134,0.9912755631743104,True
A3_l0.0_r1.0_k04,A3,cosine_top_100,5.029090762138367,5.073352909088134,0.9912755631743104,True
A3_l0.0_r1.0_k08,A3,cosine_top_100,5.029090762138367,5.073352909088134,0.9912755631743104,True
A3_l0.0_r1.0_k16,A3,cosine_top_100,5.029090762138367,5.073352909088134,0.9912755631743104,True
A3_l0.1_r0.0_k02,A3,cosine_top_100,4.422035616636276,4.453812023714268,0.9928653461554285,True
A3_l0.1_r0.0_k04,A3,cosine_top_100,4.8304156303405765,4.967434140532423,0.9724166428148838,True
A3_l0.1_r0.0_k08,A3,cosine_top_100,4.6722353309392926,4.790473124717867,0.9753181385845813,True
A3_l0.1_r0.0_k16,A3,cosine_top_100,4.882103008031845,4.919052318587649,0.99248853068381,True
A3_l0.1_r0.5_k02,A3,cosine_top_100,5.125568491220474,5.2279930733459095,0.9804084319377486,True
A3_l0.1_r0.5_k04,A3,cosine_top_100,5.407543951272965,5.455849023377016,0.9911461860661696,True
A3_l0.1_r0.5_k08,A3,cosine_top_100,5.681057429313659,5.702331853890435,0.9962691710826579,True
A3_l0.1_r0.5_k16,A3,cosine_top_100,5.859248787164688,5.9340594379115155,0.9873930061655808,True
A3_l0.1_r1.0_k02,A3,cosine_top_100,5.139563274383545,5.321078215285459,0.9658875638436418,True
A3_l0.1_r1.0_k04,A3,cosine_top_100,5.429090762138367,5.473352909088135,0.9919131567642435,True
A3_l0.1_r1.0_k08,A3,cosine_top_100,5.629090762138366,5.673352909088134,0.9921982383858292,True
A3_l0.1_r1.0_k16,A3,cosine_top_100,5.952368915081024,5.9738044838657975,0.9964117391450177,True
A3_l0.2_r0.0_k02,A3,cosine_top_100,4.622035616636277,4.653812023714268,0.9931719616271415,True
A3_l0.2_r0.0_k04,A3,cosine_top_100,5.230415630340576,5.367434140532422,0.9744722512462436,True
A3_l0.2_r0.0_k08,A3,cosine_top_100,5.801084214448929,5.854607069992619,0.9908579935589499,True
A3_l0.2_r0.0_k16,A3,cosine_top_100,6.793964177370071,6.872849484206648,0.9885221832636013,True
A3_l0.2_r0.5_k02,A3,cosine_top_100,5.325568491220475,5.42799307334591,0.9811303034581254,True
A3_l0.2_r0.5_k04,A3,cosine_top_100,5.807543951272964,5.855849023377015,0.9917509703697597,True
A3_l0.2_r0.5_k08,A3,cosine_top_100,6.360791513323784,6.369152703701371,0.9986872366283936,True
