configuration_id,arm,pool,lambda,r,k,q11_fact_count,q11_domain_count,civil,art,monetary,marine,serialized_chars,selected_episode_count,facts_per_10k_chars,prior_answer_fraction,oracle_overlap,optimality_ratio,targeted_preserved,targeted_required,primary_gate,no_regression_gate,surrogate_gate
A3_l0.5_r0.0_k04,A3,cosine_top_100,0.5,0.0,4,5,2,4,0,1,0,31744,12,1.575,0.083,1,0.9791,,16,False,False,False
A3_l0.5_r0.0_k08,A3,cosine_top_100,0.5,0.0,8,8,2,5,0,0,3,31664,11,2.527,0.0,0,0.9687,,16,True,False,False
A3_l0.5_r0.0_k16,A3,cosine_top_100,0.5,0.0,16,11,3,5,2,0,4,31996,11,3.438,0.091,0,0.9994,,16,True,False,False
A3_l0.5_r0.5_k02,A3,cosine_top_100,0.5,0.5,2,11,4,5,1,1,4,31633,15,3.477,0.267,3,0.9932,,16,True,False,True
A3_l0.5_r0.5_k04,A3,cosine_top_100,0.5,0.5,4,12,4,5,2,1,4,31413,16,3.82,0.312,4,0.9932,,16,True,False,True
A3_l0.5_r0.5_k08,A3,cosine_top_100,0.5,0.5,8,10,3,5,1,0,4,31693,15,3.155,0.267,3,0.9961,,16,True,False,False
A3_l0.5_r0.5_k16,A3,cosine_top_100,0.5,0.5,16,11,3,5,2,0,4,31976,16,3.44,0.25,3,0.9995,,16,True,False,False
A3_l0.5_r1.0_k02,A3,cosine_top_100,0.5,1.0,2,11,3,5,2,0,4,31862,17,3.452,0.294,4,0.9982,,16,True,False,False
A3_l0.5_r1.0_k04,A3,cosine_top_100,0.5,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9937,,16,True,False,False
A3_l0.5_r1.0_k08,A3,cosine_top_100,0.5,1.0,8,11,3,5,2,0,4,30805,16,3.571,0.312,4,0.987,,16,True,False,False
A3_l0.5_r1.0_k16,A3,cosine_top_100,0.5,1.0,16,11,3,5,2,0,4,31286,16,3.516,0.25,3,0.9864,,16,True,False,False
A3_l0.6_r0.0_k02,A3,cosine_top_100,0.6,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9942,,16,True,False,False
A3_l0.6_r0.0_k04,A3,cosine_top_100,0.6,0.0,4,5,2,4,0,1,0,31744,12,1.575,0.083,1,0.9803,,16,False,False,False
A3_l0.6_r0.0_k08,A3,cosine_top_100,0.6,0.0,8,8,2,5,0,0,3,31664,11,2.527,0.0,0,0.9716,,16,True,False,False
A3_l0.6_r0.0_k16,A3,cosine_top_100,0.6,0.0,16,11,3,5,2,0,4,31996,11,3.438,0.091,0,0.9995,,16,True,False,False
A3_l0.6_r0.5_k02,A3,cosine_top_100,0.6,0.5,2,11,4,5,1,1,4,31633,15,3.477,0.267,3,0.9935,,16,True,False,True
A3_l0.6_r0.5_k04,A3,cosine_top_100,0.6,0.5,4,12,4,5,2,1,4,31413,16,3.82,0.312,4,0.9935,,16,True,False,True
A3_l0.6_r0.5_k08,A3,cosine_top_100,0.6,0.5,8,10,3,5,1,0,4,31693,15,3.155,0.267,3,0.9964,,16,True,False,False
A3_l0.6_r0.5_k16,A3,cosine_top_100,0.6,0.5,16,11,3,5,2,0,4,31286,16,3.516,0.25,3,0.9857,,16,True,False,False
A3_l0.6_r1.0_k02,A3,cosine_top_100,0.6,1.0,2,11,3,5,2,0,4,31862,17,3.452,0.294,4,0.9983,,16,True,False,False
A3_l0.6_r1.0_k04,A3,cosine_top_100,0.6,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9941,,16,True,False,False
A3_l0.6_r1.0_k08,A3,cosine_top_100,0.6,1.0,8,11,3,5,2,0,4,30805,16,3.571,0.312,4,0.9881,,16,True,False,False
A3_l0.6_r1.0_k16,A3,cosine_top_100,0.6,1.0,16,11,3,5,2,0,4,31696,17,3.47,0.294,4,0.994,,16,True,False,False
A3_l0.7_r0.0_k02,A3,cosine_top_100,0.7,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9944,,16,True,False,False
