configuration_id,arm,pool,q11_fact_count,q11_domain_count,serialized_chars,oracle_overlap
A3_l0.9_r1.0_k08,A3,full_eligible_store,11,3,31290,4
A3_l0.9_r1.0_k16,A3,full_eligible_store,11,3,31597,4
A3_l1.0_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l1.0_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l1.0_r0.0_k08,A3,full_eligible_store,7,3,31924,1
A3_l1.0_r0.0_k16,A3,full_eligible_store,8,4,31967,0
A3_l1.0_r0.5_k02,A3,full_eligible_store,11,4,31633,3
A3_l1.0_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l1.0_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l1.0_r0.5_k16,A3,full_eligible_store,10,3,31638,3
A3_l1.0_r1.0_k02,A3,full_eligible_store,11,3,31944,4
A3_l1.0_r1.0_k04,A3,full_eligible_store,11,3,31821,4
A3_l1.0_r1.0_k08,A3,full_eligible_store,11,3,31290,4
A3_l1.0_r1.0_k16,A3,full_eligible_store,12,4,31088,4
A1_l0.0,A1,cosine_top_100,12,4,31768,2
A1_l0.1,A1,cosine_top_100,11,4,31827,2
A1_l0.2,A1,cosine_top_100,11,4,31725,1
A1_l0.3,A1,cosine_top_100,11,4,31883,2
A1_l0.4,A1,cosine_top_100,12,4,31800,2
A1_l0.5,A1,cosine_top_100,10,3,31921,2
A1_l0.6,A1,cosine_top_100,10,3,31944,2
A1_l0.7,A1,cosine_top_100,9,3,31954,0
A1_l0.8,A1,cosine_top_100,9,3,31950,0
A1_l0.9,A1,cosine_top_100,7,3,31957,0
A1_l1.0,A1,cosine_top_100,7,3,31957,0
A2_r0.0,A2,cosine_top_100,12,3,31859,1
A2_r0.5,A2,cosine_top_100,12,3,31512,3
A2_r1.0,A2,cosine_top_100,12,3,31795,4
A3_l0.0_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.0_r0.0_k04,A3,cosine_top_100,7,3,31957,0
A3_l0.0_r0.0_k08,A3,cosine_top_100,7,3,31957,0
A3_l0.0_r0.0_k16,A3,cosine_top_100,7,3,31957,0
A3_l0.0_r0.5_k02,A3,cosine_top_100,11,4,31069,3
A3_l0.0_r0.5_k04,A3,cosine_top_100,11,4,31069,3
A3_l0.0_r0.5_k08,A3,cosine_top_100,11,4,31069,3
A3_l0.0_r0.5_k16,A3,cosine_top_100,11,4,31069,3
A3_l0.0_r1.0_k02,A3,cosine_top_100,11,3,31399,4
A3_l0.0_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.0_r1.0_k08,A3,cosine_top_100,11,3,31399,4
A3_l0.0_r1.0_k16,A3,cosine_top_100,11,3,31399,4
A3_l0.1_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.1_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.1_r0.0_k08,A3,cosine_top_100,6,2,31840,0
A3_l0.1_r0.0_k16,A3,cosine_top_100,9,3,31950,0
A3_l0.1_r0.5_k02,A3,cosine_top_100,11,4,31069,3
A3_l0.1_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.1_r0.5_k08,A3,cosine_top_100,11,3,31774,4
A3_l0.1_r0.5_k16,A3,cosine_top_100,10,3,31320,3
A3_l0.1_r1.0_k02,A3,cosine_top_100,11,3,29693,4
A3_l0.1_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.1_r1.0_k08,A3,cosine_top_100,11,3,31399,4
A3_l0.1_r1.0_k16,A3,cosine_top_100,11,3,31762,4
A3_l0.2_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.2_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.2_r0.0_k08,A3,cosine_top_100,9,2,31900,2
A3_l0.2_r0.0_k16,A3,cosine_top_100,10,3,31367,3
A3_l0.2_r0.5_k02,A3,cosine_top_100,11,4,31069,3
A3_l0.2_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.2_r0.5_k08,A3,cosine_top_100,10,3,31924,3
A3_l0.2_r0.5_k16,A3,cosine_top_100,10,3,31566,3
A3_l0.2_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.2_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.2_r1.0_k08,A3,cosine_top_100,11,3,31762,4
A3_l0.2_r1.0_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.3_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.3_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.3_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.3_r0.0_k16,A3,cosine_top_100,10,3,31763,0
A3_l0.3_r0.5_k02,A3,cosine_top_100,11,4,31069,3
A3_l0.3_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.3_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.3_r0.5_k16,A3,cosine_top_100,10,3,31566,3
A3_l0.3_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.3_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.3_r1.0_k08,A3,cosine_top_100,11,3,31530,4
A3_l0.3_r1.0_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.4_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.4_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.4_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.4_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l0.4_r0.5_k02,A3,cosine_top_100,11,4,31069,3
A3_l0.4_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.4_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.4_r0.5_k16,A3,cosine_top_100,10,3,31077,3
A3_l0.4_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.4_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.4_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l0.4_r1.0_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.5_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.5_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.5_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.5_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l0.5_r0.5_k02,A3,cosine_top_100,11,4,31633,3
A3_l0.5_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.5_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.5_r0.5_k16,A3,cosine_top_100,11,3,31976,3
A3_l0.5_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.5_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.5_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l0.5_r1.0_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.6_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.6_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.6_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.6_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l0.6_r0.5_k02,A3,cosine_top_100,11,4,31633,3
A3_l0.6_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.6_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.6_r0.5_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.6_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.6_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.6_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l0.6_r1.0_k16,A3,cosine_top_100,11,3,31696,4
A3_l0.7_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.7_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.7_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.7_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l0.7_r0.5_k02,A3,cosine_top_100,11,4,31633,3
A3_l0.7_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.7_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.7_r0.5_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.7_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.7_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.7_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l0.7_r1.0_k16,A3,cosine_top_100,12,3,30705,4
A3_l0.8_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.8_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.8_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.8_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l0.8_r0.5_k02,A3,cosine_top_100,11,4,31633,3
A3_l0.8_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.8_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.8_r0.5_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.8_r1.0_k02,A3,cosine_top_100,11,3,31862,4
A3_l0.8_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.8_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l0.8_r1.0_k16,A3,cosine_top_100,11,3,31929,4
A3_l0.9_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l0.9_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l0.9_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l0.9_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l0.9_r0.5_k02,A3,cosine_top_100,11,4,31633,3
A3_l0.9_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l0.9_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l0.9_r0.5_k16,A3,cosine_top_100,11,3,31286,3
A3_l0.9_r1.0_k02,A3,cosine_top_100,11,3,31944,4
A3_l0.9_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l0.9_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l0.9_r1.0_k16,A3,cosine_top_100,11,3,31929,4
A3_l1.0_r0.0_k02,A3,cosine_top_100,7,3,31957,0
A3_l1.0_r0.0_k04,A3,cosine_top_100,5,2,31744,1
A3_l1.0_r0.0_k08,A3,cosine_top_100,8,2,31664,0
A3_l1.0_r0.0_k16,A3,cosine_top_100,11,3,31996,0
A3_l1.0_r0.5_k02,A3,cosine_top_100,11,4,31633,3
A3_l1.0_r0.5_k04,A3,cosine_top_100,12,4,31413,4
A3_l1.0_r0.5_k08,A3,cosine_top_100,10,3,31693,3
A3_l1.0_r0.5_k16,A3,cosine_top_100,11,3,31882,3
A3_l1.0_r1.0_k02,A3,cosine_top_100,11,3,31944,4
A3_l1.0_r1.0_k04,A3,cosine_top_100,11,3,31399,4
A3_l1.0_r1.0_k08,A3,cosine_top_100,11,3,30805,4
A3_l1.0_r1.0_k16,A3,cosine_top_100,13,3,31648,4
A1_l0.0,A1,deployed_n_union_k,7,3,31313,1
A1_l0.1,A1,deployed_n_union_k,13,3,31897,2
A1_l0.2,A1,deployed_n_union_k,6,3,31957,1
A1_l0.3,A1,deployed_n_union_k,6,3,31957,1
A1_l0.4,A1,deployed_n_union_k,10,3,31844,1
A1_l0.5,A1,deployed_n_union_k,4,3,31809,0
A1_l0.6,A1,deployed_n_union_k,5,2,31802,1
A1_l0.7,A1,deployed_n_union_k,5,2,31757,1
A1_l0.8,A1,deployed_n_union_k,5,2,31757,1
A1_l0.9,A1,deployed_n_union_k,5,2,31757,1
A1_l1.0,A1,deployed_n_union_k,5,2,31250,1
A2_r0.0,A2,deployed_n_union_k,9,3,31704,1
A2_r0.5,A2,deployed_n_union_k,9,3,31362,2
A2_r1.0,A2,deployed_n_union_k,9,3,31577,2
A3_l0.0_r0.0_k02,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.0_k04,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.0_k08,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.0_k16,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.5_k02,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.5_k04,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.5_k08,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r0.5_k16,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r1.0_k02,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r1.0_k04,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r1.0_k08,A3,deployed_n_union_k,5,2,31250,1
A3_l0.0_r1.0_k16,A3,deployed_n_union_k,5,2,31250,1
A3_l0.1_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.1_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.1_r0.0_k08,A3,deployed_n_union_k,5,2,31250,1
A3_l0.1_r0.0_k16,A3,deployed_n_union_k,5,2,31250,1
A3_l0.1_r0.5_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.1_r0.5_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.1_r0.5_k08,A3,deployed_n_union_k,5,2,31250,1
A3_l0.1_r0.5_k16,A3,deployed_n_union_k,5,2,31250,1
A3_l0.1_r1.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.1_r1.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.1_r1.0_k08,A3,deployed_n_union_k,5,2,31250,1
A3_l0.1_r1.0_k16,A3,deployed_n_union_k,6,3,31802,1
A3_l0.2_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.2_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.2_r0.0_k08,A3,deployed_n_union_k,5,2,30988,1
A3_l0.2_r0.0_k16,A3,deployed_n_union_k,5,2,30826,1
A3_l0.2_r0.5_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.2_r0.5_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.2_r0.5_k08,A3,deployed_n_union_k,6,3,30589,1
A3_l0.2_r0.5_k16,A3,deployed_n_union_k,5,2,31325,1
A3_l0.2_r1.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.2_r1.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.2_r1.0_k08,A3,deployed_n_union_k,6,3,30589,1
A3_l0.2_r1.0_k16,A3,deployed_n_union_k,5,2,31325,1
A3_l0.3_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.3_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
