configuration_id,arm,pool,civil,art,monetary,marine,q11_fact_count,q11_domain_count
A3_l0.0_r0.0_k16,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.0_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.0_r0.5_k04,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.0_r0.5_k08,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.0_r0.5_k16,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.0_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.0_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.0_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.0_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.1_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.1_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.1_r0.0_k08,A3,cosine_top_100,5,0,1,0,6,2
A3_l0.1_r0.0_k16,A3,cosine_top_100,5,0,1,3,9,3
A3_l0.1_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.1_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.1_r0.5_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.1_r0.5_k16,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.1_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.1_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.1_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.1_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.2_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.2_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.2_r0.0_k08,A3,cosine_top_100,5,0,0,4,9,2
A3_l0.2_r0.0_k16,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.2_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.2_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.2_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.2_r0.5_k16,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.2_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.2_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.2_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.2_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.3_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.3_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.3_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.3_r0.0_k16,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.3_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.3_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.3_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.3_r0.5_k16,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.3_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.3_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.3_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.3_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.4_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.4_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.4_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.4_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.4_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.4_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.4_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.4_r0.5_k16,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.4_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.4_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.4_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.4_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.5_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.5_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.5_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.5_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.5_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.5_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.5_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.5_r0.5_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.5_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.5_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.5_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.5_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.6_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.6_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.6_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.6_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.6_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
