turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience
62,774c7738-c3d7-4a39-96ad-7e35bebe36f5,16,topic_2,0.2660025954246521,ltm,,,,0b75fc29-2e46-5ad8-9523-832797dfbd57,31,transition,"[""774c7738-c3d7-4a39-96ad-7e35bebe36f5""]",[16],8
63,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.39280879497528076,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
63,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.3648143410682678,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
63,6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0,33,topic_3,0.3546493649482727,ltm,,,,674bb09b-98da-5475-a647-73fa4f152566,61,transition,"[""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0""]",[33],5
63,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.352594256401062,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
63,58b87a06-1d65-482e-82ca-e441f597d2f5,48,topic_3,0.33186155557632446,ltm,,,,d645733f-7bfc-538d-a1a6-91510c817876,61,transition,"[""58b87a06-1d65-482e-82ca-e441f597d2f5""]",[48],6
64,334ebe7f-9f4b-47b8-b35b-e08d1da8d9b6,51,topic_3,0.29273608326911926,ltm,,,,a981fc64-ff40-5c8a-a3c7-2c3fb541d3dc,61,transition,"[""334ebe7f-9f4b-47b8-b35b-e08d1da8d9b6""]",[51],7
64,132cc227-3c2b-42b5-8eb3-ef89dddc3988,43,topic_3,0.27311643958091736,ltm,,,,e9713501-f608-5173-a075-2ac12e81c583,61,transition,"[""132cc227-3c2b-42b5-8eb3-ef89dddc3988""]",[43],6
64,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.27290236949920654,ltm,,,,71579f66-35e0-58db-bd2d-b5092b1c21d0,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],5
64,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.2622344195842743,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
64,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.2618795931339264,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
65,1d5ce599-cb2b-4fc9-99df-23b15269b399,6,topic_2,0.31858953833580017,ltm,,,,26f03771-6de9-5839-bb7a-62f015264b73,31,transition,"[""1d5ce599-cb2b-4fc9-99df-23b15269b399""]",[6],7
65,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.308228462934494,ltm,,,,d30d3093-bc62-5ba2-ad83-b75aa4e699a3,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
65,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.2996459901332855,ltm,,,,fce7044c-e2e1-5cc3-bfb8-0f0d416645ec,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],5
66,9eb68599-4336-4534-a101-1c03a3aefcd7,18,topic_2,0.32037970423698425,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""9eb68599-4336-4534-a101-1c03a3aefcd7""]",[18],5
66,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.3048452138900757,ltm,,,,ef885fef-be3f-59d9-b34f-6a8cff3b05bc,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],5
66,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.3016175925731659,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
66,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.2937648594379425,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],4
67,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.32720112800598145,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
