turn,episode_id,episode_turn,topic,novelty,repetition,association,global_association,emotional,weighted_score,promoted,trigger_type,triggered_filter
61,836e2802-a6f7-45ed-a330-b9f030c1b601,55,topic_3,0.729633629322052,0.2,0.270366370677948,0.270366370677948,0.1,0.3844450443983078,False,,
61,5819434e-9734-45f8-9a8a-928071f2e29e,56,topic_3,0.6783266365528107,0.2,0.32167336344718933,0.32167336344718933,0.0,0.36174899548292155,False,,
61,6043a55d-d458-4992-b571-76fdb0f4f4c5,57,topic_3,0.6879974007606506,0.2,0.31200259923934937,0.31200259923934937,0.1,0.3781996101140976,False,,
61,2c59de14-1a37-4a19-9175-46d2c286a636,58,topic_3,0.6290698945522308,0.2,0.37093010544776917,0.37093010544776917,0.1,0.3693604841828346,False,,
61,d0b8172d-92a6-4d8b-96e4-b08bb39c6138,59,topic_3,0.7045961320400238,0.2,0.2954038679599762,0.2954038679599762,0.1,0.38068941980600357,False,,
61,eea7b826-098a-4440-9ba2-129f45cbd27d,60,topic_3,0.7579743415117264,0.2,0.24202565848827362,0.24202565848827362,0.05,0.38119615122675893,False,,
91,594e728b-adbc-4dd1-997b-59f3caca5ea8,61,topic_4,0.7955702692270279,0.2,0.19109828770160675,0.2044297307729721,0.05,0.3841692517697811,False,,
91,edb7eff1-8cf5-4db2-85f3-ac6e4f2006d7,62,topic_4,0.7127539813518524,0.2,0.28662824630737305,0.2872460186481476,0.1,0.3817895427346229,False,,
91,5c546829-c5b0-4b8f-820b-069d2dd8bb36,63,topic_4,0.678208202123642,0.2,0.3214401602745056,0.32179179787635803,0.05,0.3691609027981758,False,,
91,5e558070-7aba-4449-8404-2fc50b33fd9a,64,topic_4,0.7303484678268433,0.2,0.2561019957065582,0.26965153217315674,0.05,0.37434236288070677,False,,
91,5dd312cb-570e-4f52-aa91-5e6db2f8fa79,65,topic_4,0.6818585097789764,0.2,0.2965547442436218,0.31814149022102356,0.1,0.37296142727136605,False,,
91,84df43f3-e774-4454-8af5-816fad8669e4,66,topic_4,0.6047800481319427,0.2,0.400478720664978,0.39521995186805725,0.2,0.38176876097917556,False,,
91,94f2903a-4277-41d6-809a-194c10a5767f,67,topic_4,0.698174774646759,0.2,0.29528963565826416,0.30182522535324097,0.0,0.36341909825801844,False,,
91,f90a0b99-07c1-491c-bff9-74be0403d1ec,68,topic_4,0.6967521011829376,0.2,0.2863507568836212,0.3032478988170624,0.0,0.3611333867907524,False,,
91,198fe402-bc85-4653-a769-ee988ea5a710,69,topic_4,0.7503775358200073,0.2,0.22886790335178375,0.24962246417999268,0.1,0.3834057182073593,False,,
91,a096d4b8-1342-4d1f-9f86-ed628bbb4ca3,70,topic_4,0.7749200910329819,0.2,0.22605542838573456,0.22507990896701813,0.1,0.3914331175386906,False,,
91,dde2b6ee-0073-4761-9a3a-2eb6524744c2,71,topic_4,0.6462342143058777,0.2,0.35038629174232483,0.3537657856941223,0.1,0.37125923335552213,False,,
91,3e58d42d-c72b-4f14-945a-905443be3373,72,topic_4,0.7596297562122345,0.2,0.22792454063892365,0.2403702437877655,0.0,0.37145532280206683,False,,
91,7b19b201-165c-4a64-b151-f0fc00da37b5,73,topic_4,0.6339481174945831,0.2,0.35197529196739197,0.36605188250541687,0.1,0.3672768995165825,False,,
91,c6ba6568-deca-4785-abf0-21d27a6f25c1,74,topic_4,0.6582399308681488,0.2,0.33762961626052856,0.3417600691318512,0.1,0.3729098990559578,False,,
91,4113c7ee-212e-4f70-82a5-c9cf9847e66e,75,topic_4,0.7217877507209778,0.2,0.26717832684516907,0.2782122492790222,0.05,0.373561378121376,False,,
