turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience
34,a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1,14,topic_2,0.2193552553653717,ltm,,,,3e8f73a0-ff72-53ee-96ce-6e0aafd755b9,31,transition,"[""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1""]",[14],3
34,0047125e-95c7-403b-9432-4fff76a504e7,10,topic_2,0.2184286266565323,ltm,,,,7a2d30dd-2438-50b7-b85c-3f6d5c04149f,31,transition,"[""0047125e-95c7-403b-9432-4fff76a504e7""]",[10],8
34,d8a08467-0e6c-4271-98ab-06b11e5e2a6f,17,topic_2,0.21542127430438995,ltm,,,,0c36ce08-05f2-52c7-b5f2-aa9da621b064,31,transition,"[""d8a08467-0e6c-4271-98ab-06b11e5e2a6f""]",[17],15
34,79c79f84-4946-4449-af5c-a6d87d5614f8,22,topic_2,0.2106403261423111,ltm,,,,3b29a88a-81ee-58f2-bee2-707ffaa414db,31,transition,"[""79c79f84-4946-4449-af5c-a6d87d5614f8""]",[22],3
35,f62487d4-2a32-48fd-b7e5-96a930a564e1,20,topic_2,0.2953837513923645,ltm,,,,8beeff18-1ca1-5644-a60b-df91a6ce097f,31,transition,"[""f62487d4-2a32-48fd-b7e5-96a930a564e1""]",[20],3
35,ac6aed73-d15b-418c-b028-5c57e4bc746b,29,topic_2,0.27927419543266296,ltm,,,,9404e66b-7dea-58b4-9049-4f55b2e9b2af,31,transition,"[""ac6aed73-d15b-418c-b028-5c57e4bc746b""]",[29],15
35,d99e89cd-952f-475a-8217-17f140810bdd,28,topic_2,0.2619744539260864,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""d99e89cd-952f-475a-8217-17f140810bdd""]",[28],3
35,0047125e-95c7-403b-9432-4fff76a504e7,10,topic_2,0.25650554895401,ltm,,,,7a2d30dd-2438-50b7-b85c-3f6d5c04149f,31,transition,"[""0047125e-95c7-403b-9432-4fff76a504e7""]",[10],8
35,a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1,14,topic_2,0.2456219643354416,ltm,,,,3e8f73a0-ff72-53ee-96ce-6e0aafd755b9,31,transition,"[""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1""]",[14],3
35,d4e53f8d-2c03-431b-9188-0ec8c67ac98d,24,topic_2,0.2286851406097412,ltm,,,,5bbdc389-7e1d-589a-bced-a04a83c6b003,31,transition,"[""d4e53f8d-2c03-431b-9188-0ec8c67ac98d""]",[24],10
