layer_slot,model_layer,head,score,selected
11,47,12,0.16145833333333334,True
11,47,13,0.29166666666666669,True
11,47,14,0.24479166666666666,True
11,47,15,0.088541666666666671,False
11,47,16,0.0625,False
11,47,17,0.234375,True
11,47,18,0.41145833333333331,True
11,47,19,0.91666666666666663,True
11,47,20,0.057291666666666664,False
11,47,21,0.53645833333333337,True
11,47,22,0.20833333333333334,True
11,47,23,0.390625,True
12,51,0,0.10416666666666667,True
12,51,1,0.046875,False
12,51,2,0.375,True
12,51,3,0.11979166666666667,True
12,51,4,0.13541666666666666,True
12,51,5,0.23958333333333334,True
12,51,6,0.375,True
12,51,7,0.15625,True
12,51,8,0.49479166666666669,True
12,51,9,0.005208333333333333,False
12,51,10,0.24479166666666666,True
12,51,11,0.59375,True
12,51,12,0.43229166666666669,True
12,51,13,0.41145833333333331,True
12,51,14,0.34895833333333331,True
12,51,15,0.53125,True
12,51,16,0.453125,True
12,51,17,0.28125,True
12,51,18,0.91145833333333337,True
12,51,19,0.59375,True
12,51,20,0.796875,True
12,51,21,0.49479166666666669,True
12,51,22,0.65104166666666663,True
12,51,23,0.47395833333333331,True
13,55,0,0.088541666666666671,False
13,55,1,0,False
13,55,2,0.44270833333333331,True
13,55,3,0.26041666666666669,True
13,55,4,0.010416666666666666,False
13,55,5,0.010416666666666666,False
13,55,6,0.50520833333333337,True
13,55,7,0.14583333333333334,True
13,55,8,0.03125,False
13,55,9,0.067708333333333329,False
13,55,10,0.27604166666666669,True
13,55,11,0.041666666666666664,False
13,55,12,0.171875,True
13,55,13,0.35416666666666669,True
13,55,14,0,False
13,55,15,0.13020833333333334,True
13,55,16,0.109375,True
13,55,17,0,False
13,55,18,0.015625,False
13,55,19,0,False
13,55,20,0.53125,True
13,55,21,0.109375,True
13,55,22,0.671875,True
13,55,23,0.45833333333333331,True
14,59,0,0.11979166666666667,True
14,59,1,0.59895833333333337,True
14,59,2,0,False
14,59,3,0.671875,True
14,59,4,0.30208333333333331,True
14,59,5,0.55729166666666663,True
14,59,6,0,False
14,59,7,0,False
14,59,8,0,False
14,59,9,0.041666666666666664,False
14,59,10,0,False
14,59,11,0,False
14,59,12,0.010416666666666666,False
14,59,13,0,False
14,59,14,0.44791666666666669,True
14,59,15,0.036458333333333336,False
14,59,16,0.10416666666666667,True
14,59,17,0,False
14,59,18,0.020833333333333332,False
14,59,19,0.99479166666666663,True
14,59,20,0.052083333333333336,False
14,59,21,0.97395833333333337,True
14,59,22,0,False
14,59,23,0.005208333333333333,False
15,63,0,0.041666666666666664,False
15,63,1,0.171875,True
15,63,2,0.088541666666666671,False
15,63,3,0.046875,False
15,63,4,0.03125,False
15,63,5,0.65104166666666663,True
15,63,6,0.42708333333333331,True
15,63,7,0.49479166666666669,True
15,63,8,0.16145833333333334,True
15,63,9,0.72916666666666663,True
15,63,10,0,False
15,63,11,0.40625,True
15,63,12,0.42708333333333331,True
15,63,13,0.55208333333333337,True
15,63,14,0.8125,True
15,63,15,0.44270833333333331,True
15,63,16,0.73958333333333337,True
15,63,17,0.72916666666666663,True
15,63,18,0.25520833333333331,True
15,63,19,0.036458333333333336,False
15,63,20,0.30729166666666669,True
15,63,21,0.20833333333333334,True
15,63,22,0.17708333333333334,True
15,63,23,0.10416666666666667,True
