turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
53,0,5,2,3,3,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""}]"
54,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""62a76ea3-b24a-445f-a879-b94c47e35126"",""provenance"":""ltm""}]"
55,0,5,2,3,3,"[{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
56,0,5,2,3,3,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""8cb72b89-562d-4536-9772-056aeb55e3db"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
57,1,5,1,5,4,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
58,1,5,1,5,4,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
59,1,5,2,4,3,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
60,1,5,0,6,5,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""62a76ea3-b24a-445f-a879-b94c47e35126"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
61,0,5,2,3,3,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
62,0,5,0,5,5,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""}]"
63,0,5,0,5,5,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""c76fdd34-f55f-4565-aa11-537233f1345c"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""}]"
64,0,5,0,5,5,"[{""episode_id"":""9aed0e3f-ecc8-40e8-9521-79020e00abaa"",""provenance"":""ltm""},{""episode_id"":""be1fcc08-3a78-4909-af80-7ea3b69bbb50"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
65,0,5,2,3,3,"[{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
66,0,5,1,4,4,"[{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
67,0,5,1,4,4,"[{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""afc2044f-6756-4c73-9868-3a631f83a09f"",""provenance"":""ltm""},{""episode_id"":""076121e3-cc7c-46a7-a9c4-d701aafcf8e3"",""provenance"":""ltm""}]"
68,0,5,1,4,4,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
69,0,5,0,5,5,"[{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""afc2044f-6756-4c73-9868-3a631f83a09f"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""}]"
70,0,5,1,4,4,"[{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""6fb31d6b-fa5a-4e47-8244-ffdc9a18a4f7"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
71,0,5,1,4,4,"[{""episode_id"":""fd5b6ed4-0926-4a75-9514-b0db8c85a23e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""}]"
72,0,5,2,3,3,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
73,0,5,1,4,4,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""}]"
74,0,5,1,4,4,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""c76fdd34-f55f-4565-aa11-537233f1345c"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
75,0,5,0,5,5,"[{""episode_id"":""b0b640cf-887f-4304-a544-444645287536"",""provenance"":""ltm""},{""episode_id"":""be1fcc08-3a78-4909-af80-7ea3b69bbb50"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""e9f63df3-9eb7-4bf1-b4c3-c520a66bd907"",""provenance"":""ltm""},{""episode_id"":""076121e3-cc7c-46a7-a9c4-d701aafcf8e3"",""provenance"":""ltm""}]"
76,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""a9108135-135e-40a0-9cde-d66cf392c892"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""62a76ea3-b24a-445f-a879-b94c47e35126"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""}]"
77,0,5,2,3,3,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""}]"
78,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""c76fdd34-f55f-4565-aa11-537233f1345c"",""provenance"":""ltm""}]"
79,1,5,0,6,5,"[{""episode_id"":""eb038295-4b8f-4992-834a-f2d38649206f"",""provenance"":""stm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c76fdd34-f55f-4565-aa11-537233f1345c"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""afc2044f-6756-4c73-9868-3a631f83a09f"",""provenance"":""ltm""}]"
80,0,5,1,4,4,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""}]"
81,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""076121e3-cc7c-46a7-a9c4-d701aafcf8e3"",""provenance"":""ltm""}]"
82,0,5,1,4,4,"[{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""e9f63df3-9eb7-4bf1-b4c3-c520a66bd907"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
83,0,5,1,4,4,"[{""episode_id"":""c76fdd34-f55f-4565-aa11-537233f1345c"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
84,0,5,0,5,5,"[{""episode_id"":""c76fdd34-f55f-4565-aa11-537233f1345c"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""afc2044f-6756-4c73-9868-3a631f83a09f"",""provenance"":""ltm""}]"
