turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
76,1,0,0,1,0,"[{""episode_id"":""aa14d844-db0a-471d-85a6-13d562d579aa"",""provenance"":""stm""}]"
77,0,0,0,0,0,[]
78,0,0,0,0,0,[]
79,0,0,0,0,0,[]
80,1,0,0,1,0,"[{""episode_id"":""aa14d844-db0a-471d-85a6-13d562d579aa"",""provenance"":""stm""}]"
81,0,0,0,0,0,[]
82,0,0,0,0,0,[]
83,0,0,0,0,0,[]
84,0,0,0,0,0,[]
85,1,0,0,1,0,"[{""episode_id"":""2ac7f41a-97e9-4988-89da-cccc0eadb928"",""provenance"":""stm""}]"
86,1,0,0,1,0,"[{""episode_id"":""2ac7f41a-97e9-4988-89da-cccc0eadb928"",""provenance"":""stm""}]"
87,1,0,0,1,0,"[{""episode_id"":""2ac7f41a-97e9-4988-89da-cccc0eadb928"",""provenance"":""stm""}]"
88,0,0,0,0,0,[]
89,1,0,0,1,0,"[{""episode_id"":""2ac7f41a-97e9-4988-89da-cccc0eadb928"",""provenance"":""stm""}]"
90,1,0,0,1,0,"[{""episode_id"":""aa14d844-db0a-471d-85a6-13d562d579aa"",""provenance"":""stm""}]"
91,0,0,0,0,0,[]
92,0,0,0,0,0,[]
93,1,0,0,1,0,"[{""episode_id"":""f37be0cf-3b23-4bee-a47a-99609efaf04c"",""provenance"":""stm""}]"
94,0,0,0,0,0,[]
95,0,0,0,0,0,[]
96,0,0,0,0,0,[]
97,1,0,0,1,0,"[{""episode_id"":""f37be0cf-3b23-4bee-a47a-99609efaf04c"",""provenance"":""stm""}]"
98,0,0,0,0,0,[]
99,1,0,0,1,0,"[{""episode_id"":""f37be0cf-3b23-4bee-a47a-99609efaf04c"",""provenance"":""stm""}]"
100,0,0,0,0,0,[]
101,0,0,0,0,0,[]
102,0,0,0,0,0,[]
103,0,0,0,0,0,[]
104,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
105,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
106,3,0,0,3,0,"[{""episode_id"":""f37be0cf-3b23-4bee-a47a-99609efaf04c"",""provenance"":""stm""},{""episode_id"":""c27f5468-2cf0-4b2e-85b8-73822ea8de86"",""provenance"":""stm""},{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
107,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
108,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
109,1,0,0,1,0,"[{""episode_id"":""f37be0cf-3b23-4bee-a47a-99609efaf04c"",""provenance"":""stm""}]"
110,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
111,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
112,3,0,0,3,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""22abdccc-14a1-4843-864c-20caf73df7ad"",""provenance"":""stm""}]"
113,4,0,0,4,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""22abdccc-14a1-4843-864c-20caf73df7ad"",""provenance"":""stm""},{""episode_id"":""39974a50-28d5-433d-ba0d-e7d5379b474d"",""provenance"":""stm""}]"
114,1,0,0,1,0,"[{""episode_id"":""7604b228-edea-413c-84e5-2367e1bedb3b"",""provenance"":""stm""}]"
115,1,0,0,1,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""}]"
116,2,0,0,2,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""},{""episode_id"":""98ba882b-ce91-4894-a871-787041b0a789"",""provenance"":""stm""}]"
117,4,0,0,4,0,"[{""episode_id"":""f69dc714-d4fe-48db-a93c-d5d62f920a64"",""provenance"":""stm""},{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""},{""episode_id"":""edfabf79-25cc-4af9-bb18-0321d7649a1d"",""provenance"":""stm""},{""episode_id"":""98ba882b-ce91-4894-a871-787041b0a789"",""provenance"":""stm""}]"
118,1,0,0,1,0,"[{""episode_id"":""f37be0cf-3b23-4bee-a47a-99609efaf04c"",""provenance"":""stm""}]"
119,1,0,0,1,0,"[{""episode_id"":""64f2f3f9-31bc-4f16-af76-866fe1156e76"",""provenance"":""stm""}]"
120,2,0,0,2,0,"[{""episode_id"":""7604b228-edea-413c-84e5-2367e1bedb3b"",""provenance"":""stm""},{""episode_id"":""11f14d47-0dbf-43fa-8409-ea5e1d84ed36"",""provenance"":""stm""}]"
121,1,0,0,1,0,"[{""episode_id"":""588d773b-e823-4561-b311-b9bd3ef841ca"",""provenance"":""stm""}]"
